no,year_province_district,province_district,province,district,size_liras,size_dollars,houses,category,year,month,completion,project_name,firm
12,2005_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,22912000,16895469.18,592,alt_gelir,2005,6,%100,sanliurfa merkez akabe 5 bolge (256 konut alt gelir grubuna),ozge insTaahTicsanVe TurLtdsti
32,2005_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,2439000,1798535.673,,altyapi_sosyal,2005,1,%100,sanliurfa merkez akabe  Lise(32) + genel altyapi,esha inssanVe TicLtdsti
457,2005_sanliurfa_merkez,sanliurfa_merkez,sanliurfa,merkez,11613000,8563507.491,312,idare_konut,2005,6,%98,sanliurfa merkez akabe 3 bolge (96 konut altgelir grubu),barsa insve Tic Ltd sti
5,2005_siirt_merkez,siirt_merkez,siirt,merkez,2750000,2027869.25,62,tarimkoy,2005,1,%100,siirt merkez bostancik + sosyal donati (Ticaret merkezi. camii. sadirvan),izzettin kuzu ins
14,2005_sivas_merkez,sivas_merkez,sivas,merkez,15900000,11724771.3,464,alt_gelir,2005,6,%100,sivas merkez cayboyu mah 2 bolge (alt gelir grubuna),asil inssanTicLtdsti
58,2005_sivas_merkez,sivas_merkez,sivas,merkez,4889150,3605293.434,,altyapi_sosyal,2005,,%100,sivas merkez cayboyu sosyal donati (ilkogretim 24. saglik ocagi. ticaret merkezi. cami. sadirvan),husamettin peker insaat
132,2005_sivas_merkez,sivas_merkez,sivas,merkez,26149063,19282502.1,576,idare_konut,2005,8,%100,sivas merkez ishani 2 etap  konut + sosyal donati (ticaret. ilkogretim24. cami. sadirvan),alke ins san Ve Tic as
124,2005_sivas_sarkisla,sivas_sarkisla,sivas,sarkisla,6734000,4965698.738,224,idare_konut,2005,6,%100,sivas sarkisla (96 alt gelir),orhan ins
144,2005_Tekirdag_hayrabolu,Tekirdag_hayrabolu,Tekirdag,hayrabolu,5440000,4011494.08,132,idare_konut,2005,10,%100,Tekirdag hayrabolu,Varan ins Tickollsti
18,2005_Tokat_merkez,Tokat_merkez,Tokat,merkez,21866810,16124738.76,438,konut_sosyal_donati,2005,5,%100,Tokat merkez dedeli 2 bolge + sosyal donati (ilkogretim(24). kutuphane. saglik ocagi. ticaret merkezi. spor salonu,dag yapi insTekssanVe TicLtdsti
110,2005_Tokat_merkez,Tokat_merkez,Tokat,merkez,7398000,5455336.986,216,idare_konut,2005,3,%100,Tokat merkez dedeli 1 bolge,doga inssanTicVe Tur Ltdsti
120,2005_Trabzon_akcaabat,Trabzon_akcaabat,Trabzon,akcaabat,8389000,6186107.323,204,idare_konut,2005,5,%100,Trabzon akcaabat yildizli 2 etap,orma Uluslararasi inssanVe Ticas
121,2005_Trabzon_akcaabat,Trabzon_akcaabat,Trabzon,akcaabat,9938000,7328350.766,258,idare_konut,2005,5,%100,Trabzon akcaabat yildizli 3 etap,mustafa eksi ins
23,2005_Trabzon_merkez,Trabzon_merkez,Trabzon,merkez,16933000,12486512.73,382,kentsel_donusum,2005,12,%100,Trabzon bahcecik 1 bolge,ozsinan insTurTicsanLtd sti
7,2005_Tunceli_merkez,Tunceli_merkez,Tunceli,merkez,2043000,1506522.501,80,alt_gelir,2005,5,%100,Tunceli merkez,ilyapi Taah ins san Ve Tic as
463,2005_Tunceli_ovacik,Tunceli_ovacik,Tunceli,ovacik,1243000,916596.901,48,idare_konut,2005,12,%97,Tunceli ovacik,iskender demir
453,2005_yozgat_akdagmadeni,yozgat_akdagmadeni,yozgat,akdagmadeni,6189500,4564180.627,192,idare_konut,2005,1,%98,yozgat akdagmadeni ibrahimaga 1 etap,has_Firat insTaahTicLtdsti
15,2005_yozgat_bogazliyan,yozgat_bogazliyan,yozgat,bogazliyan,13670000,10080353.69,320,alt_gelir,2005,7,%100,yozgat bogazliyan (96 alt gelir) + sosyal donati (ilkogretim. ticaret. cami. sadirvan),girisimciler insaat san TicLdtsti
13,2005_yozgat_yerkoy,yozgat_yerkoy,yozgat,yerkoy,11780000,8686654.46,240,alt_gelir,2005,6,%100,yozgat yerkoy 1bolge (96 konut alt gelir grubuna) + sosyal donati (ilkogretim24. cami. ticaret merkezi),ilci inssan Ve Tic as
35,2005_Zonguldak_merkez,Zonguldak_merkez,Zonguldak,merkez,10567000,7792179.769,250,konut_sosyal_donati,2005,12,%100,Zonguldak merkez + ilkogretim16 (60 konut alt gelir),barsa ins Tic Ltd sti
29,2006_adana_kozan,adana_kozan,adana,kozan,30733125,21496898.94,864,alt_gelir,2006,3,%100,adana  kozan 864 konut + ticaret merkezi. cami. ilkogretim(24),ai inssanVe Ticas ve biat inssanTic Ve sanasis ortakligi
86,2006_adana_seyhan,adana_seyhan,adana,seyhan,22750000,15912942.5,96,altyapi_sosyal,2006,12,%100,adana seyhan sarihular sosyal donati. ilkogretim(32). lise(32). cami. sadirvan. 3 adet bufe. spor salonu. ticaret merkezi. + shcek sevgi evleri. karaisali 96 konut,ozuyar insTicLtdsti
468,2006_adana_seyhan,adana_seyhan,adana,seyhan,61000000,42667670,1084,idare_konut,2006,6,%98,adana seyhan_Zincirlibaglar,ekinciler Ve ort ins Ve Tic as &amp; dag yapi ins Teks sanVe Tic Ltd sti is ortakligi
32,2006_adana_yuregir,adana_yuregir,adana,yuregir,5263000,3681310.61,168,alt_gelir,2006,5,%100,adana merkez yuregir 168 konut (alt gelir),aybu inssanVe TicLtdsti
72,2006_adana_yuregir,adana_yuregir,adana,yuregir,45750675,32001224.64,988,altyapi_sosyal,2006,5,%100,adana yuregir koprulu mah 988 konut ve saat kulesi,oz_kar ins Tic ve san as
599,2006_adana_yuregir,adana_yuregir,adana,yuregir,59995000,41964702.65,,altyapi_sosyal,2006,11,%99,adana_merkez_yuregir 400 yatakli hastane,dag yapi ins Teks sanVe Tic Ltd sti ve ekinciler Ve ort ins Ve Tic as is ortakligi
188,2006_afyonkarahisar_bolvadin,afyonkarahisar_bolvadin,afyonkarahisar,bolvadin,41350000,28923084.5,452,idare_konut,2006,12,%100,afyonkarahisar erkmen (180). ilkogretim_16 camii. bolvadin (272),akay ins Tic Ltd sti
33,2006_afyonkarahisar_merkez,afyonkarahisar_merkez,afyonkarahisar,merkez,20024727,14006695.79,516,alt_gelir,2006,5,%100,afyonkarahisar merkez Telsiz mah 516 konut alt gelir + sosyal donati (ticaret merkezi. 24 derslikli ioo),makek Termomekanik san as
464,2006_agri_patnos,agri_patnos,agri,patnos,11810000,8260740.7,224,idare_konut,2006,3,%98,agri patnos + sosyal donati (ilkogretim32. ticaret merkezi. cami sdirvan. genel altyapi),ermit muhinssanVe TicLtdsti&amp;acarlar ins TaahnakithihrVe TicLtdstiis ortakligi
171,2006_amasya_merkez,amasya_merkez,amasya,merkez,11380000,7959968.6,284,idare_konut,2006,7,%100,amasya merkez 284 (176 alt gelir) konut + Ticaret merkezi,beta ins Tic koll sti
39,2006_ankara_akyurt,ankara_akyurt,ankara,akyurt,12106000,8467783.82,336,konut_sosyal_donati,2006,1,%100,ankara akyurt + sosyal donati (ilkogretim 24. Ticaret merkezi),barsa ins Tic Ltd sti
27,2006_ankara_altindag,ankara_altindag,ankara,altindag,49443000,34583895.21,1008,kentsel_donusum,2006,,%100,ankara pursaklar karacaoren protokol yolu 4 bolge (1008 konut) + (kres. ticaret merkezi. cami_sad. saglik ocagi. kutuphane. imamevi. kafeterya),ilsan inssanVe TicLtdsti &amp; ilci inssanVe Ticas is ortakligi
113,2006_ankara_altindag,ankara_altindag,ankara,altindag,24958000,17457372.26,718,kentsel_donusum,2006,1,%99,ankara altindag aktas _ dogantepe konut + sosyal donati. Ticaret merkezi. cami. kutuphane,kuzu Toplu konut insaat Ltd sti
115,2006_ankara_altindag,ankara_altindag,ankara,altindag,45350000,31720964.5,784,kentsel_donusum,2006,12,%98,ankara altindag_gultepe (gecekondu donusum) konut + sosyal donati.8 dukkan. ilkogretim16. saglik oca. cami. sadirvan,kuzu Toplu konut insaat Ltd sti
597,2006_ankara_altindag,ankara_altindag,ankara,altindag,9996000,6991902.12,,altyapi_sosyal,2006,4,%90,ankara _ saraykoy cocuk esirgeme kurumu sevgi evleri sitesi (0_6 yas 15 adet. 7_18 yas 42 adet) iki idare binasi. Revir. santral binasi,on_ba insnakTaahithihrsanVe TicLtdsti
17,2006_ankara_cankaya,ankara_cankaya,ankara,cankaya,304500000,212988615,1832,gelir_paylasimli,2006,11,%100,ankara cankaya dikmen mahallesi (Tbmm Lojmanlari) 16743 ada 1 parsel,mesa mesken sanas _ akturk yapi endVe Ticas _ emlak paz ins prjyonVe Ticas is ortakligi
84,2006_ankara_cankaya,ankara_cankaya,ankara,cankaya,494400,345817.968,,altyapi_sosyal,2006,12,%100,ankara _ Tbmm bloklari insaati altyapi. peyzaj. elektrik. mekanik tesisat isleri  bakim ve onarim,emin mut ins nak Taah
64,2006_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,1290146,902418.4226,,altyapi_sosyal,2006,1,%100,ankara eryaman 6 7 etaplar istinat duvari ve drenaj insaati,ekit insmadTurzVe Ticas
76,2006_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,6851339,4792306.09,,altyapi_sosyal,2006,6,%100,ankara eryaman 7 etap genel altyapi insaati isi,Tisan inssanVe TicLtdsti
15,2006_ankara_kecioren,ankara_kecioren,ankara,kecioren,26260000,18368082.2,428,gelir_paylasimli,2006,2,%100,ankara kecioren (arsa satisi karsiligi gelir paylasimi),kuzu Toplu konut insaat Ltd sti
56,2006_ankara_polatli,ankara_polatli,ankara,polatli,37723000,26386106.81,648,konut_sosyal_donati,2006,12,%100,ankara polatli (kuzey) 2etap. sosyal donatilar (ilkogretim_32 . Ticaret merkezi. kres. saglik ocagi. cami. sadirvan) insaaari,gap metas insgidasanVe TicLtdsti &amp; bucaklar inssanVe Tic Ltdstiis ortakligi
65,2006_ankara_polatli,ankara_polatli,ankara,polatli,3180000,2224314.6,,altyapi_sosyal,2006,1,%100,ankara polatli sosyal donati (ilkogretim(32). kutuphane. ticaret merkezi. cami. sadirvan),uc_as ins Turz Taah proj muh mus Ve Tic Ltd sti
465,2006_ankara_polatli,ankara_polatli,ankara,polatli,12912000,9031556.64,392,idare_konut,2006,4,%98,ankara polatli kuzey 1 etap,barsa ins Tic Ltd sti
67,2006_ankara_sincan,ankara_sincan,ankara,sincan,6145946,4298904.849,,altyapi_sosyal,2006,2,%100,ankara sincan_yenikent yol. dogalgaz ve cevre duzenlemesi insaati,cevik insithihrVe Tic Ltd sti
74,2006_ankara_sincan,ankara_sincan,ankara,sincan,599701,419472.8585,,altyapi_sosyal,2006,6,%100,ankara Temelli icmesuyu hatti terfi hatti. terfi merkezi. servis deposu. klorlama binasi insaati,huseyinTorun ins
44,2006_ankara_yenimahalle,ankara_yenimahalle,ankara,yenimahalle,58638000,41015521.86,1152,konut_sosyal_donati,2006,6,%100,ankara yukari yurtcu_kuyupinar (karayollari_Turkuaz) 1 bolge  1 etap + ticaret merkezi,oz_kar insTicVe sanas&amp;can inssanVe Ticas is ortakligi
49,2006_ankara_yenimahalle,ankara_yenimahalle,ankara,yenimahalle,43682000,30554248.54,564,konut_sosyal_donati,2006,11,%100,ankara yukari yurtcu_kuyupinar 1bolge 5etap (karayollari_Turkuaz) + sosyal donati  (ilkogretim(24). lise(32). ticaret merkezi.  saglik ocagi. kres. 2 spor salonu. cami _ sadirvan),kalyon ins TicVe san as
470,2006_ankara_yenimahalle,ankara_yenimahalle,ankara,yenimahalle,44000000,30776680,712,idare_konut,2006,,%99,ankara yukari yurtcu_kuyupinar (karayollari_Turkuaz) 1 bolge 2 etap + (ilkogretim24. spor salonu. ticaret merkezi. cami_sad. kutuphane. kres),ayhan demirci insTurzVe TicLtdsti
471,2006_ankara_yenimahalle,ankara_yenimahalle,ankara,yenimahalle,43480000,30412955.6,726,idare_konut,2006,11,%99,ankara yukari yurtcu_kuyupinar 1bolge 4etap(karayollari_Turkuaz),ayhan demirci insTurzVe TicLtdsti
159,2006_antalya_alanya,antalya_alanya,antalya,alanya,14980000,10478060.6,892,idare_konut,2006,4,%100,antalya merkez ciplakli (420 alt gelir_472 dar ve orta gelir),bakis ins Taah san Ve Tic Ltd sti
73,2006_artvin_merkez,artvin_merkez,artvin,merkez,4320576,3022113.295,,altyapi_sosyal,2006,5,%100,artvin merkez ilkogretim16. saglik ocagi. ticaret merkezi. icmesuyu. aritma. yagmur suyu insaati,Tumtas Tum ins san Tic ith ihr nak Turz as
472,2006_aydin_merkez,aydin_merkez,aydin,merkez,23750000,16612412.5,600,idare_konut,2006,11,%99,aydin merkez,ozekip inssanVe Tic Ltd sti &amp; hedef ins Tic Ve san Ltd sti is ortakligi
53,2006_aydin_soke,aydin_soke,aydin,soke,6665623,4662403.32,144,konut_sosyal_donati,2006,12,%100,aydin _ soke yenidogan (144 adet konut. 1 adet Ticaret merkezi),ozkan muh ins san ve Tic Ltd sti
24,2006_batman_merkez,batman_merkez,batman,merkez,21239000,14856043.33,382,afet_konutu,2006,11,%100,batman kuyubasi 1 bolge 382 konut,ilci ins san Ve Tic as
25,2006_batman_merkez,batman_merkez,batman,merkez,34940000,24439481.8,606,afet_konutu,2006,11,%100,batman kuyubasi 3 bolge 606 konut,altindag insTaahTicithihrLtdsti
27,2006_batman_merkez,batman_merkez,batman,merkez,15822000,11067014.34,214,afet_konutu,2006,12,%100,batman kuyubasi 2 etap konut + Ticaret merkezi. ilkogretim 24. saglik ocagi. cami,durmaz otopeturinssanTicLtdsti
62,2006_batman_merkez,batman_merkez,batman,merkez,2811000,1966210.17,,altyapi_sosyal,2006,1,%100,batman merkez sosyal donati (24 derslikli ilkogretim okulu. camii. saglik ocagi. Ticaret merkezi) + siirt yagmurtepe sosyal donati (camii. Ticaret merkezi),hayranogullari insTaahTic Ltdsti
26,2006_bayburt_merkez,bayburt_merkez,bayburt,merkez,9349260,6539526.892,36,kentsel_donusum,2006,,%100,bayburt 1 bolge 36 adet konut. 24 adet dukkan ve 1 adet Ticaret merkezi ile adaici. genel altyapi ve cevre duzenlemesi insaati yapim isi,eryapi ins sanVe Tic as &amp; bayburt ins nak san Ve Tic Ltd sti is ortakligi
48,2006_bayburt_merkez,bayburt_merkez,bayburt,merkez,24414000,17076860.58,,konut_sosyal_donati,2006,10,%100,bayburt merkez sosyal donati (300 kisilik yurt. lise_24. spor salonu) + bayburt   merkez_gencosman 2 etap 120 konut gecekondu onleme (61 dukkan) + 1 celik kopru + bayburt_arpali 80 Tarimkoy (ilkogretim_8),eryapi ins sanVe Tic as &amp; bayburt ins nak san Ve Tic Ltd sti is ortakligi
71,2006_bayburt_merkez,bayburt_merkez,bayburt,merkez,6276000,4389873.72,,altyapi_sosyal,2006,5,%100,bayburt gencosman mah40 derslikli Lise. Terminal binasi,kurinsTic Ve san as &amp; bayburt ins nak sanVe TicLtdsti is ortakligi
178,2006_bilecik_merkez,bilecik_merkez,bilecik,merkez,15400000,10771838,292,idare_konut,2006,11,%100,bilecik merkez istiklal mahallesi 2 etap 1 bolge,ser insaat Tic Ltdsti
185,2006_bilecik_osmaneli,bilecik_osmaneli,bilecik,osmaneli,8904000,6228080.88,192,idare_konut,2006,12,%100,bilecik osmaneli 192 konut (112 altgelir) + Ticaret merkezi,ipek insmalzsanVe Ticas &amp;cuhadaroglu insVe sanas is ortakligi
596,2006_bilecik_pazaryeri,bilecik_pazaryeri,bilecik,pazaryeri,1643000,1149229.21,,altyapi_sosyal,2006,4,%98,bilecik pazaryeri sosyal donati ilkoretim okulu. Ticaret merkezi. cami,cemal Tartar
297,2006_bitlis_merkez,bitlis_merkez,bitlis,merkez,10161000,7107314.67,272,konut_sosyal_donati,2006,3,%99,bitlis Rahva 2 etap (96 alt gelir),Zirve insaat TicLtdsti
186,2006_bolu_mudurnu,bolu_mudurnu,bolu,mudurnu,6690000,4679454.3,128,idare_konut,2006,12,%100,bolu mudurnu 128 konut +  ticaret merkezi ve kres (64 alt gelir),ida ins Taah Ve Tic Ltd sti
172,2006_bursa_inegol,bursa_inegol,bursa,inegol,6650000,4651475.5,224,idare_konut,2006,7,%100,bursa inegol _ alanyurt,balkent insithihrTicVe sanLtdsti
37,2006_bursa_kestel,bursa_kestel,bursa,kestel,43680000,30552849.6,716,alt_gelir,2006,12,%100,bursa kestel 1 bolge (56 alt gelir) ilkogretim24. Ticaret merkezi. saglik ocagi. cami,aksa ins Tic Ve Tas as &amp; Fuat celik insTaahTeks san Ve Tic Ltd sti is ortakligi
96,2006_bursa_mustafakemalpasa,bursa_mustafakemalpasa,bursa,mustafakemalpasa,6250000,4371687.5,102,afet_konutu,2006,7,%97,bursa mustafa kemal pasa karakoy + Ticaret merkezi. ahir. Tandir insaati,makro ins Tic Ltd sti
155,2006_bursa_osmangazi,bursa_osmangazi,bursa,osmangazi,34385000,24051275.95,912,idare_konut,2006,2,%100,bursa osmangazi + ilkogretim32. cami. sadirvan,sira elektrik insaat TaahsanTicLtdsti &amp; sec ins san Ve Tic Turz Ltdsti
75,2006_cankiri_merkez,cankiri_merkez,cankiri,merkez,2981343,2085359.988,,altyapi_sosyal,2006,6,%100,cankiri merkez inanckoy icmesuyu + ilkogretim_8. saglik ocagi. ticaret merkezi. cami. sadirvan + korgun (cok amacli salon. ticaret merkezi),Leda yapi Ve proje Taahhut Ltdsti
30,2006_corum_osmancik,corum_osmancik,corum,osmancik,4395000,3074170.65,224,alt_gelir,2006,3,%100,corum osmancik koyunbaba (224 alt gelir) + (kutuphane. cami_sadirvan),beta grup ins mim Taah Tic Ltd sti
51,2006_denizli_honaz,denizli_honaz,denizli,honaz,37897000,26507814.59,680,konut_sosyal_donati,2006,11,%100,denizli irliganli (296)+sosyal donatisi (ilkogretim_24. cami. sadirvan. ticaret merkezi). honaz (384)+sosyal donatisi ( ilkogretim_24. cami. sadirvan. ticaret merkezi),eRs inssan Ve Tic as &amp; halis coban is ortakligi
177,2006_diyarbakir_Lice,diyarbakir_Lice,diyarbakir,Lice,1050000,734443.5,24,idare_konut,2006,10,%100,diyarbakir Lice ikmal insaati,cevlik inspetTasimadTursagTicsan Ltdsti
66,2006_diyarbakir_merkez,diyarbakir_merkez,diyarbakir,merkez,55190000,38603749.3,,altyapi_sosyal,2006,1,%100,diyarbakir uckuyular 537 yatakli hastane+ cami. kafeterya,intim insTicmusLtdsti
82,2006_diyarbakir_merkez,diyarbakir_merkez,diyarbakir,merkez,8528929,5965729.968,,altyapi_sosyal,2006,11,%100,diyarbakir uckuyular  genel altyapi,ensar insTicLtdsti &amp; murat olmez is ortakligi
161,2006_diyarbakir_merkez,diyarbakir_merkez,diyarbakir,merkez,34321000,24006509.87,960,idare_konut,2006,5,%100,diyarbakir uckuyular 4etap,gap metas insgidasanVe TicLtdsti &amp; bucaklar inssanVe Tic Ltdstiis ortakligi
169,2006_diyarbakir_merkez,diyarbakir_merkez,diyarbakir,merkez,29895074,20910707.41,608,idare_konut,2006,6,%100,diyarbakir uckuyular 3 etap (240 alt gelir),iz_ka ins Taah muh Teks amb san Ve Tic Ltd sti &amp; pakt ins Ve Tic Ltd sti is ortakligi
55,2006_diyarbakir_silvan,diyarbakir_silvan,diyarbakir,silvan,9284000,6493879.48,208,konut_sosyal_donati,2006,12,%100,diyarbakir silvan (112 alt gelir),hiperbol insaat paz Ltdsti
54,2006_duzce_merkez,duzce_merkez,duzce,merkez,36070000,25229882.9,588,konut_sosyal_donati,2006,12,%100,duzce merkez (memUR_sen) (72 alt gelir)+ sosyal donati. Ticaret merkezi. cami. saglik ocagi. yonetim merkezi. kres.,seha insmuhmad TursanVe Ticas
189,2006_edirne_kesan,edirne_kesan,edirne,kesan,22800000,15947916,456,idare_konut,2006,12,%100,edirne kesan beyendik beldesi. ticaret merkezi. cami. ilkogretim_16,cagdan muhmutsanVe Ticas
3,2006_elazig_merkez,elazig_merkez,elazig,merkez,1279562,895015.2321,,restorasyon,2006,12,%100,elazig_carsi mahallesi 269ada 13parseldeki eski hukumet konaginin Restorasyonu,Vakif ins Rest Ve Tic as
20,2006_erzurum_merkez,erzurum_merkez,erzurum,merkez,4304880,3011134.414,144,afet_konutu,2006,1,%100,erzurum ilica 2 etap,cuhadaroglu inssanas
41,2006_eskisehir_merkez,eskisehir_merkez,eskisehir,merkez,31247000,21856339.09,400,konut_sosyal_donati,2006,4,%100,eskisehir odunpazari 4 etap + (ilkogretim32. lise40. 2 ticaret merkezi. spor salonu. cami. kres) (96 alt gelir),ayhan demirci insTurzVe TicLtdsti
175,2006_eskisehir_merkez,eskisehir_merkez,eskisehir,merkez,17000000,11890990,644,idare_konut,2006,8,%100,eskisehir Tepebasi seker mah,omer osman kilinc insmadLdtsti
5,2006_gaziantep_sahinbey,gaziantep_sahinbey,gaziantep,sahinbey,2439905,1706640.35,,restorasyon,2006,12,%100,gaziantep sahinbey beyazhan kultur merkezi restarasyon,m arslan ins muh mim Taah san Ve Tic Ltd sti
184,2006_gaziantep_sehitkamil,gaziantep_sehitkamil,gaziantep,sehitkamil,57900000,40499313,1104,idare_konut,2006,11,%100,gaziantep sehitkamil (1104). kres. camii. ticaret merkezi. saglik ocagi,baltas inssan Ve TicLtdsti
47,2006_giresun_merkez,giresun_merkez,giresun,merkez,10621000,7429070.87,240,konut_sosyal_donati,2006,,%100,giresun merkez + sos dnt. bekci kulubesi,ali acar inssan ve TicLtdsti
23,2006_gumushane_kurtun,gumushane_kurtun,gumushane,kurtun,7990000,5588765.3,176,afet_konutu,2006,10,%100,gumushane kurtun 20 konut _ ozkurkun 156 konut,merve ins Taah muh nakTic Ltd sti
63,2006_gumushane_merkez,gumushane_merkez,gumushane,merkez,490000,342740.3,,altyapi_sosyal,2006,1,%100,gumushane merkez spor salonu,akva ins mad gida Teks hay med Tem Tic san Ltd sti
70,2006_gumushane_merkez,gumushane_merkez,gumushane,merkez,2243000,1568911.21,,altyapi_sosyal,2006,4,%100,gumushane _ merkez 32 dersliklli ilkogretim okulu,akva ins mad gida Teks hay med Tem Tic san Ltd sti
600,2006_hatay_merkez,hatay_merkez,hatay,merkez,4734000,3311290.98,7,altyapi_sosyal,2006,12,%98,hatay merkez  engelsiz yasam merkezi. 6 adet engelsiz yasam birimi. Ticaret merkezi.1 adet kafeterya ile hatay kirikhan 16 derslikli ilkogretim okulu. kres. cami. sadirvan. adaici altyapi ve genel altyapi  ile cevre duzenleme insaati,mehmet celik ins Taah Tic Ve san Ltd sti
36,2006_isparta_merkez,isparta_merkez,isparta,merkez,46200000,32315514,732,alt_gelir,2006,12,%100,isparta merkez_alikoy mevkii 1 bolge (432 alt gelir)+ (Lise_24. ilkogretim_24. cami_sadirvan. saglik ocagi. kres. spor salonu. ticaret merkezi),serel yapi endTicVesanLtdsti&amp;mehmet celik insTaahTicVesanLtdsti&amp;egemen insVeTicLtdsti
8,2006_isparta_senirkent,isparta_senirkent,isparta,senirkent,7001647,4897442.027,105,tarimkoy,2006,10,%100,isparta senirkent buyukkabaci Tarimkoy 105 konut ve Ticaret merkezi,detay ins Teks san dis Tic Ltd sti
182,2006_isparta_Uluborlu,isparta_Uluborlu,isparta,Uluborlu,14388000,10063974.36,176,idare_konut,2006,11,%100,isparta Uluborlu (176) ticaret merkezi;,ozgunsan yapi prjmimsanTicLtdsti
16,2006_istanbul_avcilar,istanbul_avcilar,istanbul,avcilar,60750000,42492802.5,720,gelir_paylasimli,2006,6,%100,istanbul avcilar ispartakule 1 bolge + ticaret mrk. ilkogretim. lise. cami (arsa satisi karsiligi gelir paylasimi) (biZim eVLeR),ihlas holding _ atmaca insaat ortak girisimi
14,2006_istanbul_buyukcekmece,istanbul_buyukcekmece,istanbul,buyukcekmece,39512250,27637633.51,413,gelir_paylasimli,2006,2,%100,istanbul  bahcesehir 10 bolge (spRadon),kuzu Toplu konut insaat Ltd sti
29,2006_istanbul_buyukcekmece,istanbul_buyukcekmece,istanbul,buyukcekmece,12800000,8953216,36,gelir_paylasimli,2006,10,%98,istanbul_bahcesehir 243/1 parsel ikmal ihalesi (has payl),bemay insaat
30,2006_istanbul_buyukcekmece,istanbul_buyukcekmece,istanbul,buyukcekmece,180510000,126261329.7,600,gelir_paylasimli,2006,11,%0,istanbul  bahcesehir T2 bolgesi (11 bolge),gulkelesoglu insaat &amp; ifas yapi san &amp; ar_ke insaat &amp; 2m insaat &amp; gul ins insaat otak girisimi
81,2006_istanbul_catalca,istanbul_catalca,istanbul,catalca,2175325,1521574.578,,altyapi_sosyal,2006,11,%100,istanbul catalca hadimkoy baglanti yolu ve altyapi insaati,Turan hazinedaroglu insTicas
50,2006_istanbul_gaziosmanpasa,istanbul_gaziosmanpasa,istanbul,gaziosmanpasa,34329068,24012153.19,750,konut_sosyal_donati,2006,11,%100,istanbul _gaziosmanpasa Tasoluk 1 bolge (750)+ sosyal donati (Lise_24. spor salonu.  cami. sadirvan.  kutuphane. 4 adet bufe,alke ins &amp; makro ins ortak girisim
183,2006_istanbul_gaziosmanpasa,istanbul_gaziosmanpasa,istanbul,gaziosmanpasa,34958712,24452570.28,606,idare_konut,2006,11,%100,istanbul gaziosmanpasa Tasoluk 2 bolge (606) + sosyal donati (ilkogretim_24. kres. ticaret merkezi. cami. sadirvan. kutuphane),alke ins &amp; makro ins ortak girisim
61,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,7424360,5193117.089,,altyapi_sosyal,2006,1,%100,istanbul halkali yol ve dogalgaz ins,cevik insithihrVe Tic Ltd sti
77,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,11385686,7963945.786,,altyapi_sosyal,2006,7,%100,istanbul halkali 1 koprulu kavsak insaati,gokdelen ins_ sinan ins
78,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,8884447,6214404.143,,altyapi_sosyal,2006,7,%100,istanbul halkali 3 koprulu kavsak ins,snh insaat
79,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,10435827,7299547.912,,altyapi_sosyal,2006,8,%100,istanbul halkali 2 koprulu kavsak ins,yse yapi sanayi
160,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,22496000,15735277.12,560,idare_konut,2006,4,%100,istanbul kucukcekmece halkali 550 ada,kuzu Toplu konut insaat Ltd sti
173,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,66190000,46297919.3,1116,idare_konut,2006,7,%100,istanbul halkali 1 bolge,kuzu Toplu konut insaat Ltd sti
174,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,75100000,52530197,1480,idare_konut,2006,7,%100,istanbul kucukcekmece halkali 3 bolge,Ve_na insTaahithihrsanVe TicLtdsti &amp; kocoglu ins Ve san Tic as
176,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,49334000,34507652.98,1000,idare_konut,2006,,%100,istanbul kucukcekmece halkali 2 bolge,iskar ins san Ve Tic as &amp; arslanlar insaat ortak girisimi
187,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,50950000,35637996.5,1108,idare_konut,2006,12,%100,istanbul halkali 5 bolge,kuzu Toplu konut insaat Ltd sti
474,2006_istanbul_kucukcekmece,istanbul_kucukcekmece,istanbul,kucukcekmece,30414000,21273680.58,784,idare_konut,2006,12,%99,istanbul  kucukcekmece halkali 4bolge,biat ins san Tic as
114,2006_istanbul_Tuzla,istanbul_Tuzla,istanbul,Tuzla,26325000,18413547.75,760,kentsel_donusum,2006,7,%99,istanbul Tuzla 1bolge 760 konut altgelir,makek ins &amp; hasan eksi ins
