year,month,province,district,project_name,firm,category,order,completion,liras,houses
2019,6,aydin,cine,aydin ili cine ilcesi hukumet konagi insaati ile altyapi ve cevre duzenlemesi isi,hacim muhendislik proje sanayi ticaret a.s. &amp; bertas muh. ins. tic. ltd sti. ortak girisim,kamu_hizmet,125,98,15620000,
2006,12,aydin,soke,"aydin - soke yenidogan (144 adet konut, 1 adet ticaret merkezi)",ozkan muh. ins. san ve tic. ltd. sti.,konut_sosyal_donati,53,100,6665623,144
2009,6,aydin,didim,"aydin didim akyenikoy 140 konut, ticaret merkezi, adaici ve genel altyapi ile cevre duzenlemesi ins. isi",oz-ka ins. elek. muh. san. tic. ltd. sti.,konut_sosyal_donati,151,100,6190000,140
2020,7,aydin,cine,"aydin ili, cine ilcesi  81  adet  konut  ,  1  adet  bufe  ve  cami    insaati  ile  altyapi  ve  cevre duzenlemesi isi (e-ihale)",barsoy insaat taahhut muh.mus.ekspertizlik tic.ve san.ltd.st &amp; map grup insaat ve sanayi ve ticaret anonim sirketi is ortakligi,konut_sosyal_donati,445,30,19821000,81
2004,9,aydin,incirliova,aydin incirliova acarlar,burakgazi ins.ith.ihr.mad.san.ve tic.ltd.sti.,tarimkoy,2,100,4214000,142
2016,12,aydin,kuyucak,"aydin ili, kuyucak ilcesi 177 konut  insaati ile altyapi ve cevre duzenlemesi isi
",uyar eml. ins. nak. dogalgaz elek. san. ve dis tic. a.s.,talep_organizasyon,52,100,18990000,177
2019,4,aydin,incirliova,"aydin ili, incirliova ilcesi 206 adet konut , 4 adet dukkan ve 1 adet cami insaati ile altyapi ve cevre duzenlemesi isi",ozkilic yapi ins. taah. pet. urn. san. tic. ltd. sti.,talep_organizasyon,152,92,39980000,206
2020,1,aydin,nazilli,"aydin ili, nazilli ilcesi, cumhuriyet mahallesi millet bahcesi ve millet bahcesine ait sosyal donatilar insaatlari ile altyapi ve cevre duzenlemesi isi",ak zen ins. nak. hayvancilik pet. ve mad. san. tic. a.s. &amp; sur insaat ticaret ltd. sti. is ortakligi,millet_bahcesi,19,96,10229000,
2005,7,balikesir,merkez,balikesir merkez yenimahalle 1. etap (278 alt gelir grubuna),cakir yapi san. ve tic. a.s.,alt_gelir,16,100,21707000,766
2005,7,balikesir,merkez,"balikesir merkez yenimahelle  2. etap 480 konut (alt gelir grubuna)+ sosyal donati (ilkogretim, lise, spor salonu, kres, cami, sadirvan)",makek termomekanik san. a.s.,alt_gelir,17,100,17025000,480
2011,2,balikesir,ayvalik,"balikesir ayvalik altinova beldesi 48 konut, gonen sarikoy beldesi 72 konut",irden ins. ve tic. ltd. sti.,alt_gelir,92,92,4782340,120
2010,6,balikesir,gonen,balikesir gonen 75 yatakli devlet hastanesi insaati isi,mehmet ozcan yuk. muh. mut.,altyapi_sosyal,278,100,14742000,
2011,3,balikesir,erdek,"balikesir ili erdek ilcesi 156 adet hait, 1 adet isi merkezi, 1 adet komutan binasi, 1 adet bufe, acik spor alanlari insaati ile altyapi ve cevre duzenlemesi isleri",basyapi ins. taah. tur. ve dis tic. ltd. sti.,altyapi_sosyal,307,100,11330000,156
2011,11,balikesir,merkez,"balikesir merkez 2.mirzabey 140 adet hait, nizamiye ve isi merkezi insaati ile  altyapi ve cevre duzenlemesi isleri",erme ins. san. ve tic. ltd. sti.,altyapi_sosyal,366,100,11423000,140
2011,11,balikesir,bigadic,balikesir ili bigadic icesi 75 yatakli hastane  ile altyapi ve cevre duzenlemesi insaati isi,kadioglu muh. ins. ve. tic. a.s. &amp; untay ins. muh. san. tic. ve ltd. sti. is,altyapi_sosyal,371,100,15552000,
2012,6,balikesir,dursunbey,balikesir ili dursunbey ilcesi 75 yatakli devlet hastanesi ile altyapi ve cevre duzenlemesi insaati isi,tetis yapi ins. san. ve tic. ltd. sti. &amp; erhan ozhan &amp; vedat gurbuz is ortakligi,altyapi_sosyal,422,100,13916000,
2013,3,balikesir,bandirma,balikesir bandirma 500 kisilik(536 kisi kapasiteli) yurt binasi ve sosyal tesis insaati ile altyapi ve cevre duzenlemesi isi,yazicioglu nak. ins. a.s.,altyapi_sosyal,474,100,11442000,
2013,8,balikesir,merkez,balikesir 850 yatakli devlet hastanesi insaati isi,gunal ins. tic. ve san a.s. &amp; mapa ins. ve tic. a.s. is ortakligi,altyapi_sosyal,512,100,237869000,
2014,2,balikesir,burhaniye,"balikesir burhaniye; orentepe bolgesi 202 kisilik yurt ve sosyal tesis, orjan bolgesi 114 kisilik yurt  ve sosyal tesis binalari  ile altyapi ve cevre duzenlemesi isi",naci dogus ins. san. ve tic. ltd. sti. &amp; ordem yapi ith. ihr. san. ve tic. ltd. sti. is ortakligi,altyapi_sosyal,564,100,14658000,
2016,1,balikesir,ayvalik,balikesir ili ayvalik ilcesi 300 kisilik yurt (356 kisi kapasiteli) ve sosyal tesis insaati ile altyapi ve cevre duzenlemesi isi,orc ins. san. ve tic. a.s.,altyapi_sosyal,609,100,9247000,
2009,6,balikesir,ayvalik,balikesir ayvalik armutcuk mevkii 1 adet 24 derslikli  ilkogretim okulu insaati ile altyapi ve cevre duzenlemesi isi,uzman ins. ic mim. mus. petrol urun. san. ve tic. ltd. sti.,altyapi_sosyal,668,98,2784000,
2011,12,balikesir,bandirma,balikesir ili bandirma ilcesi pasabayir mahallesi halkegitim merkezi ile altyapi ve cevre duzenlemesi insaati isi,al isi ins. taah. san. ve tic. ltd. sti.,altyapi_sosyal,752,84,1499000,
2003,,balikesir,merkez,balikesir merkez aysebaci mevki (1. bolge),simsekler ins.ve tur.taah.tic.ltd.sti,idare_konut,12,100,9737000,296
2003,,balikesir,dursunbey,balikesir dursunbey ciftci mah.,dag yapi ins.teks.san.ve tic.ltd.sti,idare_konut,33,100,21476000,48
2005,2,balikesir,merkez,"balikesir merkez aysebaci mevki (2. bolge) + merkez sosyal donati (ticaret merkezi, camii, anaokulu)",dag yapi ins.teks.san.ve tic.ltd.sti,idare_konut,98,100,21476000,496
2007,3,balikesir,kepsut,balikesir kepsut,aybu ins.san.ve tic.ltd.sti.,idare_konut,203,100,7738000,176
2007,6,balikesir,gonen,balikesir - gonen,kanyol ins. a.s. &amp; ozyarici ins. san. ve turz. tic. ltd. sti.is ortakligi,idare_konut,214,100,8175000,176
2010,11,balikesir,gonen,"balikesir gonen 2. etap 96 konut, 1 adet ticaret merkezi insaatlari ile altyapi ve cevre duzenlemesi isi",mustafa eksi ins. tur. san. tic. ltd. sti.,idare_konut,298,100,4250000,96
2014,4,balikesir,bandirma,"balikesir ili bandirma ilcesi 128 adet konut ile 1 adet sosyal tesis,  altyapi ve cevre duzenlemesi insaati isi (ikmâl insaati)",tuna muh. man. mad. san. ve tic. ltd. sti.,idare_konut,421,100,1444000,128
2005,3,balikesir,manyas,balikesir manyas kizik koyu 1.etap,cakarlar ins. tic. san. ltd. sti.,idare_konut,479,98,8112062,264
2011,10,balikesir,gomec,balikesir ili gomec ilcesi 96 adet konut ile altyapi ve cevre duzenlemesi insaati isi,bakis ins. taah. san. ve tic. ltd. sti.,idare_konut,546,92,4612000,96
2018,5,balikesir,manyas,"balikesir ili manyas ilcesi kizik mahallesi 625 adet konut, 2 adet ticaret merkezi, 1 adet camii insaati ile altyapi ve cevre duzenlemesi isi",oz oguz ins. tur. san. ve tic. ltd. sti.,idare_konut,617,73,85644000,625
2020,8,balikesir,karesi,"balikesir karesi 1. etap 548 adet konut , 1 adet 10 dukkanli ticaret ve 1 adet cami insaatlari ile altyapi ve cevre  duzenlemesi  isi (e- ihale)
",yp insaat anonim sirketi,idare_konut,686,6,126900000,548
2020,9,balikesir,altieylul,"balikesir ili, altieylul ilcesi, dinkciler mahallesi 762 adet konut 26 adet ticaret ve 1 adet cami insaatlari ile altyapi ve cevre  duzenlemesi  isi	 (e- ihale)
",,idare_konut,694,,,762
2021,1,balikesir,karesi,"balikesir  ili,  karesi  ilcesi,  2. etap  458  adet  konut, 12 adet dukkan ve 1adet cami insaati  ile  altyapi  ve  cevre  duzenlemesi  isi (e-ihale)
",,idare_konut,712,,,458
2014,7,balikesir,bandirma,"balikesir ili bandirma ilcesi edincik beldesi ii. etap 316 adet konut, 1'er adet cami ve ticaret merkezi insaatlari ile altyapi ve cevre duzenlemesi isi (ikmal insaati)",ota ins. san. tic. ltd. sti.,ikmal_ihalesi,6,100,15277850,316
2010,3,balikesir,ayvalik,balikesir ili ayvalik ilcesi sosyal guvenlik kurumu binasi (sgk) insaati ile altyapi ve cevre duzenlemesi insaati isi,yesil coruh ins.mak.taah.san.tic.ltd.sti.,kamu_hizmet,1,100,1476300,
2014,7,balikesir,merkez,balikesir ili merkez ilcesi sosyal guvenlik kurumu (sgk) il mudurlugu hizmet binasi insaatlari ile altyapi ve cevre duzenlemesi isi,ecem-nur ins. tas. yakit kuy. tar. ilt. ve tic. ltd. sti. &amp; en yapi grup ins. taah. teks. mad. tur. san. tic. a.s. is ortakligi,kamu_hizmet,80,90,12104000,
2021,2,balikesir,edremit,"balikesir ili, edremit hukumet konagi insaati ile altyapi ve cevre duzenlemesi isi",,kamu_hizmet,145,,,
2005,4,balikesir,manyas,"balikesir manyas 2.etap kizik koyu (ticaret merkezi, ilkogretim 24, cami, sadirvan, kutuphane)",t.e.z. mim. ins.tur. ve tic.ltd.sti.,konut_sosyal_donati,16,100,12464791,252
2007,3,balikesir,edremit,"balikesir edremit konut + ilkogretim 8, ticaret merkezi, cami",maksem yapi ins. san. ve tic. ltd. sti.,konut_sosyal_donati,62,100,23799049,412
2007,3,balikesir,bandirma,"balikesir bandirma kayacik konut + ilkogretim32, cami, saglik ocagi, ticaret merkezi",age ins. ve tic. a.s.,konut_sosyal_donati,63,100,48725268,838
2007,4,balikesir,burhaniye,balikesir burhaniye konut + ticaret merkezi,kanyol ins. a.s. &amp; ozyarici ins. san. ve turz. tic. ltd. sti.is ortakligi,konut_sosyal_donati,72,100,7836000,164
2007,5,balikesir,bandirma,"balikesir bandirma edincik konut + ilkogretim16, ticaret merkezi, cami",alpan ins.turz.san.ve tic.ltd.sti.is ortakligi,konut_sosyal_donati,78,100,23199000,412
2009,8,balikesir,dursunbey,"balikesir dursunbey 146 adet konut, 1 adet; camii ve ticaret merkezi insaati ile balikesir manyas 2.bolge toplu konutlarina ait 1 adet cami ikmal insaati, genel, adaici altyapi ve cevre duzenlemesi isi",gunes konut san. tic. ltd. sti.,konut_sosyal_donati,164,100,7228000,146
2009,8,balikesir,sindirgi,"balikesir sindirgi cavdaroglu mah. 80 konut, 1 adet ticaret merkezi ile adaici, genel altyapi ve cevre duzenlemesi insaati isleri",uzman ins. ic mim. mus.pet. urun. tic. ve san. ltd. sti.,konut_sosyal_donati,168,100,3728000,80
2013,12,balikesir,gonen,balikesir ili gonen ilcesi 3 etap 376 adet konut insaati ile altyapi ve cevre duzenlemesi isi,tuna muh. man. mad. san. ve tic. ltd. sti.,konut_sosyal_donati,280,100,26814000,376
2016,2,balikesir,gonen,balikesir ili gonen ilcesi 350 kisilik yurt ve sosyal tesis insaati ile altyapi ve cevre duzenlemesi insaati isi,yazicioglu nak. ins. a.s.,konut_sosyal_donati,301,100,11350000,
2008,6,balikesir,ayvalik,"balikesir ayvalik 6 adet konut, sosyal tesis, personel yatakhanesi",fikret goktas,konut_sosyal_donati,331,93,1187689,6
2019,7,balikesir,dursunbey,"balikesir ili, dursunbey ilcesi uceylul mahallesi 160 adet konut ve1 adet bufe insaatlari ile altyapi ve cevre duzenlemesi insaati isi",erensan ins. malz. ve insaat orman ur. san. ve tic. ltd. sti. &amp; centilmen ins. mak. elek. gida mad. taah. san. tic. paz.,konut_sosyal_donati,411,67,33721000,160
2020,6,balikesir,susurluk,"balikesir ili, susurluk ilcesi, sultaniye mahallesi  210 adet konut ve 35 adet dukkan insaati ile altyapi ve cevre duzenlemesi isi"" ( e-ihale)",ifam insaat ve ticaret limited sirketi,konut_sosyal_donati,441,13,37056999,210
2016,9,balikesir,balya,"balikesir ili balya ilcesi 112(+kd) adet konut, camive ticaret merkezi insaatlari ile altyapi ve cevre duzenlemesi isi",my park ins. a.s.,talep_organizasyon,41,100,12189000,112
2016,9,balikesir,sindirgi,"balikesir ili sindirga ilcesi 2 etap 668 adet konut, 1'er adet cami ve ticaret merkezi insaatlari ile altyapi ve cevre duzenlemesi isi yapim isi",cey grup ins. turz. yat. ve isl. ltd. sti. &amp; arti deger ins. oto. san. ve dis tic. a.s. is ortakligi,talep_organizasyon,44,100,84650000,668
2017,6,balikesir,ivrindi,"balikesir ili ivrindi ilcesi  kurtulus mahallesi 110 adet konut , 1 adet bufe ve  1 adet cami insaatlari ile altyapi ve cevre duzenlemesi isi
",arikan ins. taah. tic. ve san. a.s. &amp; so-sah yapi ins. petr. dogalgaz is mak. turz. tic. ltd. sti. &amp; sigma ins. ve turz. isl. tic. a.s. is ortakligi,talep_organizasyon,107,90,15999000,110
2018,5,balikesir,bigadic,"balikesir ili bigadic ilcesi 322 adet konut , 1 adet ticaret merkezi, 1 adet camii insaatlari ile altyapi ve cevre duzenlemesi isi",yp ins. a.s. &amp; metron yapi proje ins. taah. tic. ve beton san. a.s. is ortakligi,talep_organizasyon,141,96,52520000,322
2020,7,balikesir,bigadic,"balikesir ili, bigadic ilcesi, cavus mahallesi 151 adet konut  insaati ile altyapi ve cevre duzenlemesi isi (e-ihale)",hts proje taahhut yapi anonim sirketi,talep_organizasyon,185,9,27330000,151
2021,2,balikesir,balya,balikesir ili balya ilcesi 116 adet konut  insaati ile altyapi ve cevre duzenlemesi isi (e- ihale),,talep_organizasyon,228,,,116
2020,9,balikesir,altieylul,"balikesir ili, altieylul ilcesi, 1 adet 24 derslikli lise, 1 adet 32 derslikli ilkogretim okulu, edremit ilcesi 1 adet 24 derslikli lise ve 100 kisilik pansiyon, gomec ilcesi 1 adet 24 derslikli ortaokul insaatlari ile altyapi ve cevre duzenlemesi isi",seler taahhut yapi ins. san. ve tic. ltd. sti. &amp; ozguler yapi san. ve tic. ltd. sti. is ortakligi,protokol_meb,17,10,41243000,
2021,4,balikesir,burhaniye,"balikesir ili burhaniye ilcesi kocacami mah 20 ders ilkokul, gonen ilcesi kurtulus mah 20 ders ilkokul ve rustem mah 12 ders mtalise, dursunbey ilcesi uceylul mah 12 derslikli ilkokul egitim binasi insaati ile altyapi ve cevre duzenlemesi isi (e-ihale)",,protokol_meb,35,,,
2005,12,bartin,merkez,bartin merkez (192 alt gelir),yse insaat - celikler ins. ortak girisimi,alt_gelir,26,100,17490000,492
2013,1,bartin,merkez,"bartin universitesi merkezi sozel derslik, edebiyat fakultesi, muhendislik fakultesi ile ogrenci ve personel yemekhanesi binalarinin insaati isi",gucar ins. san. ve tic. a.s.,altyapi_sosyal,463,100,29880000,
2013,11,bartin,ulus,"bartin ulus 10 yatakli devlet hastanesi, kumluca 1'er adet 2 hekimlik aile saglik merkezi ve eczane insaati ile altyapi ve cevre duzenlemesi isi",armada ins. tic. san. ve ltd. sti. &amp; ahmet bazancir is ortakligi,altyapi_sosyal,532,100,5270000,
2007,3,bartin,merkez,"bartin 2. bolge konut + ilkogretim24, ticaret merkezi, cami",yse yapi san. ve tic. a.s.,idare_konut,201,100,17295000,206
2010,3,bartin,merkez,"bartin merkez dallica mah. 192 konut, 1 adet sosyal tesis insaati",irden ins.ve tic.ltd.sti.,idare_konut,281,100,7380000,192
2019,7,bartin,merkez,"bartin ili merkez ilcesi, dallica koyu 424 adet konut, 1 adet cami, 1 adet ticaret merkezi ve 1 adet ilkokul insaatlari ile altyapi ve cevre duzenlemesi isi",ozgehan yapi san. ve tic. ltd. sti.,idare_konut,629,41,88512000,424
2021,1,bartin,merkez,"bartin ili, merkez ilcesi 158 adet konut, 2 adet dukkan, 1 adet cami insaati ile altyapi ve cevre duzenlemesi isi (e_ihale)",akademi yapi ve enerji sanayi ticaret anonim sirketi,konut_sosyal_donati,478,0,34990000,158
2017,9,bartin,ulus,"bartin ili, ulus ilcesi , samat mahallesi 320 adet konut , 1 adet 5 dukkanli ticaret merkezi ve 1 adet camii insaatlari ile altyapi ve cevre duzenlemesi isi
",adahan ins. ve tic. a.s. &amp; karadeniz orme san. ve dis tic. a.s. is ortakligi,talep_organizasyon,118,98,43447000,320
2014,3,ankara,cankaya,basbakanlik hizmet binasi yerleskesi yapimi,rec uluslararasi ins. yatirim san. ve tic. a.s.,kamu_hizmet,28,100,595000000,
2006,11,batman,merkez,batman kuyubasi 1. bolge 382 konut,ilci ins. san. ve tic a.s.,afet_konutu,24,100,21239000,382
2006,11,batman,merkez,batman kuyubasi 3. bolge 606 konut,altindag ins.taah.tic.ith.ihr.ltd.sti.,afet_konutu,25,100,34940000,606
2006,12,batman,merkez,"batman kuyubasi 2. etap konut + ticaret merkezi, ilkogretim 24, saglik ocagi, cami",durmaz oto.pet.ur.ins.san.tic.ltd.sti.,afet_konutu,27,100,15822000,214
2006,1,batman,merkez,"batman merkez sosyal donati (24 derslikli ilkogretim okulu, camii, saglik ocagi, ticaret merkezi) + siirt yagmurtepe sosyal donati (camii, ticaret merkezi)",hayranogullari ins.taah.tic. ltd.sti.,altyapi_sosyal,63,100,2811000,
2008,1,batman,merkez,batman toplum merkezi insaati,sertka muh. mus. ins. nak. taah. san. tic. ltd. sti.,altyapi_sosyal,118,100,349976,
2008,11,batman,kozluk,"batman kozluk 50 yatakli hastane ve 6 daireli lojman, bekci kulubesi",yanar petrol ins. taah. ith. ihr. ve paz. san. tic. ltd. sti.,altyapi_sosyal,163,100,11446000,6
2009,12,batman,kozluk,"batman kozluk 24 derslikli ilkogretim okulu, 300 kisilik pansiyon, 10 adet konut (lojman), batman merkez lise(24), spor salonu adaici altyapi ve cevre duzenlemesi insaati isi",sertka muh. mus. ins. nak. taah. tic. ltd. sti.,altyapi_sosyal,239,100,9759641,10
2010,1,batman,merkez,batman merkez 240 adet hait misafirhane hizmet destek binasi insaatlari ile adaici genel altyapi ve cevre duzenleme insaati isi,dibay ins.muh. telek. nak. san.ve tic.ltd.sti.&amp; ceysa ins.temz.urun.pet.nak.ve san. tic.ltd.sti.is o,altyapi_sosyal,247,100,20800000,
2010,3,batman,hasankeyf,batman ili hasankeyf ilcesi yeni yerlesim alani genel altyapi insaati isi,mehmet gunes,altyapi_sosyal,264,100,11175066,
2010,12,batman,hasankeyf,"batman hasankeyf yeni yerlesim alani 1.etap 1.bolge 58 konut, 1'er adet ioo(24), hukumet konagi, belediye binasi, emniyet amirligi, ptt, cami, ticaret merkezi, 5000 kisilik aritma tesisi, 1.etap yollarinin ustyapisi ile altyapi ve cevre duzenlemesi",aydin ins. taah.san.tic.ltd.sti.,altyapi_sosyal,300,100,19287000,58
2012,11,batman,hasankeyf,batman ili hasankeyf ilcesi yeni yerlesim alani 24 derslikli yatili ilkogretim bolge okulu ve 200 ogrencilik pansiyon  insaati ile adaici altyapi ve cevre duzenlemesi insaati isi,sertka muh. mus. ins. nak. taah. tic. ltd. sti.,altyapi_sosyal,444,100,7967000,
2012,12,batman,merkez,"batman universitesi iktisadi idari bilimler fakultesi, merkezi kafeterya, lojman binalari, elektrik altyapi isleri ile alt yapi ve cevre duzenlemesi insaati isi",may ins. taah. mus. ve muh. san. ve tic. ltd. sti.,altyapi_sosyal,447,100,42446000,
2013,10,batman,hasankeyf,batman ili hasankeyf ilcesi yeni yerlesim alani 1 adet 24 derslikli ortaogretim okulu insaati ile altyapi ve cevre duzenlemesi isi,gelis mad. ins. san. ve tic. ltd. sti.,altyapi_sosyal,528,100,5173000,
2014,4,batman,hasankeyf,batman ili hasankeyf ilcesi; tarihi kulturel yarimada baglanti kopru insaati ve 2. etap genel altyapi ile sirnak ili guclukonak koctepe koyu harfiyat ve duvar isleri,biroglu ins. harf. nak. tur. ith. ihr. san. ve tic. ltd. sti.,altyapi_sosyal,578,100,23500000,
2008,11,batman,merkez,"batman merkez yenimahalle guneykent mevkii ilkogretim-32 + siirt merkez girtis mevkii lise-16, 1 adet 200 kisilik pansiyon",umut ins. tic. turz ve san. ltd. sti.,altyapi_sosyal,657,97,7221000,
2011,6,batman,besiri,"batman ili besiri ilcesi 15 yatakli entegre hastanesi, altyapi ve cevre duzenlemesi isleri",hanege ins. nak. san. tic. ltd. sti,altyapi_sosyal,723,88,2077500,
2012,7,batman,hasankeyf,"batman ili hasankeyf ilcesi yeni yerlesim alani turizm otelcilik yuksek okulu ve uygulama oteli, muze, giris yapisi 1-2, sahne ve sahne arka yapisi, sera, park ve sera onarim binasi, kultur park alani ile adaici altyapi ve cevre duzenlemesi insaati yapim isi",zirve insaat tic. ltd. sti.,altyapi_sosyal,779,98,23850000,
2012,12,batman,merkez,"batman ili merkez ilcesi kohikan koyu 1'er adet 24 derslikli anadolu ogretmen lisesi, 300 kisilik pansiyon, spor salonu, merkez ilcesi tilmerc mahallesi 1'er adet 24 derslikli imam hatip lisesi, 200 kisilik pansiyon ile altyapi ve cevre duzenlemesi insaati isi",aksel can ins. tic. ltd. sti.,altyapi_sosyal,792,99,13379000,
2013,6,batman,kozluk,batman kozluk meslek yuksek okulu insaati isi,receban pet. ins. san.tic. ltd. sti. &amp; ak-sev ins. nak. pet.taah. san. vetic. ltd. sti. is ortakligi,altyapi_sosyal,810,97,7948750,
2013,12,batman,hasankeyf,batman ili hasankeyf ilcesi yeni yerlesim alaninda yapilacak 25 yatakli entegre hastane insaati ile altyapi ve cevre duzenlemesi isi,sertka muh. mus. ins. nak. taah. ve tic. ltd. sti.,altyapi_sosyal,838,99,6665000,
2013,12,batman,kozluk,batman kozluk bekirhan 3 hekimli aile saglik merkezi ile altyapi ve cevre duzenlemesi insaati isi,deymat yapi ins. muh. haf. nak. taah. tic. san. ltd. sti.,altyapi_sosyal,840,98,501000,
2014,4,batman,merkez,"batman merkez kohikan koyu 1'er adet 24 derslikli anadolu lisesi, 300 kisilik pansiyon ve spor salonu ile diyarbakir yenisehir sanayi mah. 1 adet 32 derslikli ilkogretim okulu insaatlari altyapi ve cevre duzenlemesi isi",mir yapi ins. mus. san.tic. ltd. sti. &amp; gundogu ins. mim. muh. petrol ur.tic. ltd. sti. is ortakligi,altyapi_sosyal,858,99,6288500,
2016,12,batman,hasankeyf,"batman ili hasankeyf ilcesi yeni yerlesim alani 3 etap genel altyapi insaati isi yapim isi 
",acs ins. mad. kimya nak. gida san. tic. a.s. &amp; hevsel petr. ins. nak. egt. ve sos. hiz. san. tic. ltd. sti. is ortakligi,altyapi_sosyal,881,97,28330000,
2019,1,batman,hasankeyf,"batman ili hasankeyf ilcesi 47 adet konut, 1 adet merkez camii ile altyapi ve cevre duzenlemesi ve genel altyapi yol iyilestirme isi",kayas mad. ins. a.s.,altyapi_sosyal,891,93,36347000,47
2020,11,batman,merkez,"batman ili merkez ilcesi ziya gokalp mahallesi (batman mesleki ve teknik anadolu lisesi) 16 derslikli egitim yapisi, metal atolyesi ve makina atolyesi ile altyapi ve cevre duzenlemesi insaati isi",,altyapi_sosyal,917,,,
2021,4,batman,hasankeyf,"batman ili, hasankeyf ilcesi, yeni yerlesim yeri 1'er adet arac bakim onarim, asm-tsm-112 ashi, mezbaha, taziye evi, terminal, kapali pazar yeri, dugun salonu ve otopark alani insaati ile altyapi ve cevre duzenlemesi isi",ok-sa insaat nakliye turz. tem. san. ve tic. ltd. sti.,altyapi_sosyal,939,0,29747000,
2003,,batman,merkez,batman tilmerc 608 adet konut insaati,durmaz oto.pet.ur.ins.san.tic.ltd.sti.,idare_konut,13,100,17023000,608
2009,1,batman,merkez,"batman merkez tilmerc 672 adet konut (336 alt gelir grubu), 1 adet ticaret merkezi ile adaici, genel altyapi ve cevre duzenlemesi insaati isleri",girisimciler ins. san. tic. ltd. sti. &amp; gunestekin ins.turz ve otm. tic. ltd. sti. is ortakligi,idare_konut,253,100,40428863,672
2013,9,batman,merkez,"batman merkez 1.bolge 537 adet konut, 1 adet 32 derslikli ilkogretim okulu ile altyapi ve cevre duzenlemesi insaati isi",demars ins. turz. tic. ltd. sti.,idare_konut,398,100,38880000,537
2013,9,batman,merkez,batman merkez 2.bolge 485 adet konut ile altyapi ve cevre duzenlemesi insaati isi,gunestekin ins.turz ve otm. tic. ltd. sti.,idare_konut,399,100,30442000,485
2013,9,batman,merkez,"batman merkez 3.bolge 450 adet konut, 1’er adet ticaret merkezi ve cami insaatlari ile altyapi ve cevre duzenlemesi isi",demars ins. turz. tic. ltd. sti.,idare_konut,400,100,34880000,450
2014,11,batman,hasankeyf,batman ili hasankeyf ilcesi yeni yerlesim alani 1 bolge 14 nolu adada yapilacak olan 60 adet konut insaati ile altyapi ve cevre duzenlemesi isi,yapi tek proje muh. mim. ins. san. ve tic. ltd. sti. &amp; marallar ins. nak. pet. uru. mad. hub. san. tic. ltd. sti. is ortakligi,idare_konut,428,100,7290000,60
2016,10,batman,hasankeyf,"batman hasankeyf ilcesi 320 adet konut, kaymakamlik resmi konutu ve mezarlik alani altyapi ve cevre duzenlemesi isi
",gunestekin ins.turz ve otm. tic. ltd. sti.,idare_konut,594,98,72375000,320
2017,2,batman,hasankeyf,"batman hasankeyf ilcesi 390 adet konut, 1 adet anaokulu",kayas mad. nak. petr. ins. san. tic. ltd. sti. &amp; sertka muh. mus. ins. nak. taah. ve tic. a.s. is ortakligi,idare_konut,601,98,94347000,390
2020,6,batman,merkez,"batman ili, merkez ilcesi, cigerlo mahallesi 908 adet konut, 3 dukkanli ticaret ve cami insaati ile altyapi ve cevre duzenlemesi isi (e-ihale)",ozkilic yapi insaat taahhut ve petrol urunleri sanayi ticaret limited sirketi,idare_konut,671,14,168878000,908
2018,3,batman,merkez,batman 300 yatakli kadin dogum ve cocuk devlet hastanesi insaati isi  (ikmâl insaati),kayas mad. ins. a.s.,ikmal_ihalesi,57,97,94967000,
2013,12,batman,hasankeyf,"batman ili hasankeyf ilcesi yeni yerlesim alaninda yapilacak 1'er adet kapali spor salonu, ilce gida tarim ve hayvancilik mudurlugu hizmet binasi ve ilce kutuphane binasi ile altyapi ve cevre duzenlemesi insaati isi",gelis mad. ins. san. ve tic. ltd. sti.,kamu_hizmet,77,97,5300000,
2020,3,batman,hasankeyf,"batman ili, hasankeyf ilcesi, universite yapilari (1 adet lojman, 1 adet nizamiye, 1 adet sosyal tesis ve 2 adet yurt), 1 adet halk egitim merkezi, 1 adet muftuluk,2 adet ilkogretim okulu ve 1 adet cami insaatlari ile altyapi ve cevre duzenlemesi isi
",gunestekin ins. turz. oto. ve tic. ltd. sti.,kamu_hizmet,130,26,43123000,
2005,10,batman,merkez,batman kuyubasi (tarimkoy),ekn insaat gida taah. tem. san. tic. ltd. sti.,tarimkoy,6,100,4490000,196
2013,12,batman,merkez,batman 15.000 seyirci kapasiteli stadyum ve kapali yuzme havuzu insaati isi,gunestekin ins.turz ve otm. tic. ltd. sti. &amp; mbd ins. san. tur. muh. ve tic. ltd. sti. is ortakligi,stadyum,18,99,46954000,
2015,11,batman,merkez,"batman ili merkez yenisehir mahalesi kuyubasi mevkii 1199 ada, 1 parsel; batman emekliler dernegi 2.etap 163 adet konut insaati ile altyapi ve cevre duzenlemesi isi",erensan ins. mlz. ve ins. orm. ur. san. ve tic. ltd. sti. &amp; centilmen ins. mak. elek. gida mad. taah. san. tic. paz. ltd. sti.  is ortakligi,talep_organizasyon,14,100,14940000,163
2019,1,batman,merkez,batman millet bahcesi yapim isi,enam ins. taah. ve gida san. tic. a.s. &amp; izbay ins. nak. akaryakit urn. san. ve tic. ltd. sti. is ortakligi,millet_bahcesi,2,98,12956000,
2006,5,bayburt,merkez,"bayburt gencosman mah.40 derslikli lise, terminal binasi",kur.ins.tic. ve san. a.s. &amp; bayburt ins. nak. san.ve tic.ltd.sti. is ortakligi,altyapi_sosyal,72,100,6276000,
